Fecha,Resultado,Jugador,Hora
24/6/2025,Player,11,01:29:36
24/6/2025,Banker,12,01:29:01
24/6/2025,Player,7,01:28:27
24/6/2025,Player,6,01:27:52
24/6/2025,Banker,8,01:27:18
24/6/2025,Player,11,01:26:44
24/6/2025,Player,12,01:26:09
24/6/2025,Player,7,01:25:34
24/6/2025,Banker,9,01:24:59
24/6/2025,Banker,5,01:24:23
24/6/2025,Banker,11,01:23:48
24/6/2025,Player,10,01:23:09
24/6/2025,Banker,8,01:22:30
24/6/2025,Banker,6,01:21:49
24/6/2025,Banker,9,01:21:09
24/6/2025,Player,10,01:20:30
24/6/2025,Banker,9,01:19:52
24/6/2025,Player,12,01:19:12
24/6/2025,Banker,10,01:18:33
24/6/2025,Banker,8,01:17:54
24/6/2025,Player,10,01:17:14
24/6/2025,Banker,8,01:16:36
24/6/2025,Banker,8,01:15:57
24/6/2025,Banker,9,01:15:18
24/6/2025,Tie 6x,9,01:14:38
24/6/2025,Banker,6,01:13:57
24/6/2025,Player,9,01:13:16
24/6/2025,Player,9,01:12:35
24/6/2025,Banker,7,01:11:54
24/6/2025,Player,8,01:11:16
24/6/2025,Player,9,01:10:36
24/6/2025,Player,6,01:09:56
24/6/2025,Player,11,01:09:16
24/6/2025,Tie 88x,2,01:08:36
24/6/2025,Player,10,01:07:56
24/6/2025,Player,12,01:07:18
24/6/2025,Banker,8,01:06:36
24/6/2025,Banker,9,01:05:56
24/6/2025,Banker,8,01:05:17
24/6/2025,Tie 6x,5,01:04:38
24/6/2025,Banker,10,01:03:57
24/6/2025,Tie 4x,7,01:03:17
24/6/2025,Player,8,01:02:39
24/6/2025,Banker,9,01:01:58
24/6/2025,Banker,12,01:01:21
24/6/2025,Player,9,01:00:39
24/6/2025,Banker,6,01:00:01
24/6/2025,Banker,7,00:59:21
24/6/2025,Banker,12,00:58:43
24/6/2025,Player,10,00:58:05
24/6/2025,Banker,8,00:57:24
24/6/2025,Player,9,00:56:45
24/6/2025,Player,6,00:56:06
24/6/2025,Banker,8,00:55:27
24/6/2025,Tie 6x,5,00:54:47
24/6/2025,Banker,7,00:54:08
